instance,algorithm,run,makespan,time
MFJS6,ECT,16,1133,0
MFJS6,ECT,17,1133,0
MFJS6,ECT,18,1133,0
MFJS6,ECT,19,1133,0
MFJS6,ECT,20,1133,0
MFJS6,ECT,21,1133,0
MFJS6,ECT,22,1133,0
MFJS6,ECT,23,1133,0
MFJS6,ECT,24,1133,0
MFJS6,ECT,25,1133,0
MFJS6,ECT,26,1133,0
MFJS6,ECT,27,1133,0
MFJS6,ECT,28,1133,0
MFJS6,ECT,29,1133,0
MFJS6,ECT,30,1133,0
MFJS7,ACSi,1,1485,72
MFJS7,ACSi,2,1242,70
MFJS7,ACSi,3,1247,47
MFJS7,ACSi,4,1419,106
MFJS7,ACSi,5,1458,49
MFJS7,ACSi,6,1436,81
MFJS7,ACSi,7,1271,65
MFJS7,ACSi,8,1373,85
MFJS7,ACSi,9,1362,56
MFJS7,ACSi,10,1285,60
MFJS7,ACSi,11,1240,68
MFJS7,ACSi,12,1317,65
MFJS7,ACSi,13,1415,75
MFJS7,ACSi,14,1360,88
MFJS7,ACSi,15,1379,54
MFJS7,ACSi,16,1352,105
MFJS7,ACSi,17,1324,74
MFJS7,ACSi,18,1417,47
MFJS7,ACSi,19,1419,35
MFJS7,ACSi,20,1332,22
MFJS7,ACSi,21,1298,49
MFJS7,ACSi,22,1426,35
MFJS7,ACSi,23,1452,29
MFJS7,ACSi,24,1191,58
MFJS7,ACSi,25,1378,32
MFJS7,ACSi,26,1428,23
MFJS7,ACSi,27,1227,29
MFJS7,ACSi,28,1409,20
MFJS7,ACSi,29,1394,29
MFJS7,ACSi,30,1401,20
MFJS7,ACSp,1,1243,38
MFJS7,ACSp,2,1404,16
MFJS7,ACSp,3,1266,17
MFJS7,ACSp,4,1354,17
MFJS7,ACSp,5,1330,33
MFJS7,ACSp,6,1421,15
MFJS7,ACSp,7,1366,30
MFJS7,ACSp,8,1360,30
MFJS7,ACSp,9,1409,26
MFJS7,ACSp,10,1369,26
MFJS7,ACSp,11,1252,33
MFJS7,ACSp,12,1179,24
MFJS7,ACSp,13,1441,36
MFJS7,ACSp,14,1343,37
MFJS7,ACSp,15,1331,24
MFJS7,ACSp,16,1335,30
MFJS7,ACSp,17,1332,36
MFJS7,ACSp,18,1301,30
MFJS7,ACSp,19,1545,20
MFJS7,ACSp,20,1404,26
MFJS7,ACSp,21,1351,20
MFJS7,ACSp,22,1373,23
MFJS7,ACSp,23,1301,45
MFJS7,ACSp,24,1394,44
MFJS7,ACSp,25,1452,17
MFJS7,ACSp,26,1397,33
MFJS7,ACSp,27,1390,25
MFJS7,ACSp,28,1393,30
MFJS7,ACSp,29,1308,34
MFJS7,ACSp,30,1392,18
MFJS7,ECT,1,1715,0
MFJS7,ECT,2,1715,0
MFJS7,ECT,3,1715,0
MFJS7,ECT,4,1715,0
MFJS7,ECT,5,1715,0
MFJS7,ECT,6,1715,0
MFJS7,ECT,7,1715,0
MFJS7,ECT,8,1715,0
MFJS7,ECT,9,1715,0
MFJS7,ECT,10,1715,0
MFJS7,ECT,11,1715,0
MFJS7,ECT,12,1715,0
MFJS7,ECT,13,1715,0
MFJS7,ECT,14,1715,0
MFJS7,ECT,15,1715,0
MFJS7,ECT,16,1715,0
MFJS7,ECT,17,1715,0
MFJS7,ECT,18,1715,0
MFJS7,ECT,19,1715,0
MFJS7,ECT,20,1715,0
MFJS7,ECT,21,1715,0
MFJS7,ECT,22,1715,0
MFJS7,ECT,23,1715,0
MFJS7,ECT,24,1715,0
MFJS7,ECT,25,1715,0
MFJS7,ECT,26,1715,0
MFJS7,ECT,27,1715,0
MFJS7,ECT,28,1715,0
MFJS7,ECT,29,1715,0
MFJS7,ECT,30,1715,0
